seed	condition	mean_TFinput_over_K	TF_retention_ratio	terminal_TFinput	mean_Hill_activation	N_active_TF	regime
546	original	0.1254141926765442	0.0014912540917307567	6.401410956868858e-08	0.022432327270507812	0	collapse
2026	original	3.712160587310791	0.41736142321419134	0.026904692873358727	0.5151557922363281	6	steady
2177	original	0.05895404890179634	0.013140847386900257	1.4982120433160162e-07	0.017563829198479652	0	collapse
3441	original	0.6508386731147766	0.15599934870621324	4.9452564780949615e-06	0.07334871590137482	0	collapse
3492	original	0.09317116439342499	0.01371209248712566	8.655271699353762e-08	0.02346288040280342	0	collapse
4094	original	4.562633991241455	0.6215320630810467	0.027487363666296005	0.6150087714195251	6	steady
4478	original	1.2593432664871216	0.3099785686884776	0.00886290892958641	0.28552085161209106	6	steady
4578	original	0.2688664197921753	0.010444496252900844	8.640325290798501e-07	0.04079174995422363	0	collapse
6798	original	0.1119479164481163	0.007729028982858916	7.232964094328054e-08	0.025796974077820778	0	collapse
7483	original	0.40858471393585205	0.11377952489802327	8.12277164641273e-07	0.07662889361381531	0	collapse
7709	original	2.2868480682373047	0.4260028419796068	0.013934490270912647	0.5013912320137024	6	steady
546	projection_removed	0.19250920414924622	0.008383496778237466	4.2278957153030206e-06	0.041497014462947845	0	collapse
2026	projection_removed	3.2075765132904053	0.29908644603388235	0.009166384115815163	0.3876650333404541	5	steady
2177	projection_removed	0.09314259886741638	0.01697609203555284	9.619401453164755e-07	0.030550668016076088	0	collapse
3441	projection_removed	0.6241342425346375	0.14764455215913694	1.047178011504002e-05	0.07199006527662277	0	collapse
3492	projection_removed	0.10394911468029022	0.024572093482697344	8.851905022311257e-07	0.02798004262149334	0	collapse
4094	projection_removed	4.6268815994262695	0.4858237520348583	0.023967307060956955	0.5414742827415466	6	steady
4478	projection_removed	1.2349387407302856	0.3471893166907258	0.008509395644068718	0.265757292509079	6	steady
4578	projection_removed	0.9494698643684387	0.13231611316274544	1.75118420884246e-05	0.10107646882534027	1	collapse
6798	projection_removed	0.2678011655807495	0.012436933683226214	6.754240166628733e-05	0.05747484415769577	0	collapse
7483	projection_removed	0.7921751141548157	0.18714246705035353	1.3298133126227185e-05	0.14194118976593018	0	collapse
7709	projection_removed	2.2947566509246826	0.3191892925910462	0.013635087758302689	0.48863548040390015	6	steady
